"原表","原用途","用途体系","涉及领域实体","重构后形态","迁移原则"
"平台性风险管理及跟踪总表","跨项目平台性风险池","风险","Artifact / Attachment / Report、Generic / Context-specific、PatentDocument / PatentFamily / Party、Product / ProductCategory、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation、TechnologyTaxonomy / TechnicalKnowledge","RiskCase工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"产品线季度类项目风险分享","面向产品线的季度风险分享","分享阐释","Generic / Context-specific、PatentDocument / PatentFamily / Party、Product / ProductCategory、Project / ProjectSolutionVersion、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation","ReportSnapshot + SavedView","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"特定主题专利分享-小主题","专题竞对专利技术解读","分享阐释","Generic / Context-specific、PatentDocument / PatentFamily / Party、TechnologyTaxonomy / TechnicalKnowledge","ReportSnapshot + SavedView","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"特定主题专利分享-大主题","大主题-细分支专题技术分享","分享阐释","Generic / Context-specific、PatentDocument / PatentFamily / Party、TechnologyTaxonomy / TechnicalKnowledge","ReportSnapshot + SavedView","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"竞争对手技术路线表","竞对技术路线与专利代表作","分享阐释","Generic / Context-specific、PatentDocument / PatentFamily / Party、TechnologyTaxonomy / TechnicalKnowledge","ReportSnapshot + SavedView","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"IP事务管控表之风险管控表","单项目风险排查、分析、规避闭环","风险","Artifact / Attachment / Report、Generic / Context-specific、PatentDocument / PatentFamily / Party、Product / ProductCategory、Project / ProjectSolutionVersion、ProtectionCase / FilingCase、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation","RiskCase工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"IP事务管控表之申请管控表","单项目申请布局与法律状态","布局","PatentDocument / PatentFamily / Party、ProtectionCase / FilingCase","Protection/Filing工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"会议展示用精选管控表","会议精选风险信息","分享阐释","Generic / Context-specific、PatentDocument / PatentFamily / Party、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation","ReportSnapshot + SavedView","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"产品品类数据总库","某品类所有竞对/相关专利长期知识库","数据库","Artifact / Attachment / Report、Generic / Context-specific、PatentDocument / PatentFamily / Party、Relation / Link Entity、RelevanceReview、TechnologyTaxonomy / TechnicalKnowledge","Patent/Technology知识库视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"单一技术主题模块库","技术专题及细分方向专利知识库","数据库","Artifact / Attachment / Report、Generic / Context-specific、PatentDocument / PatentFamily / Party、Relation / Link Entity、RelevanceReview、TechnologyTaxonomy / TechnicalKnowledge","Patent/Technology知识库视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"特殊国家地区专利库","特殊法域竞对专利知识库","数据库","Artifact / Attachment / Report、Generic / Context-specific、PatentDocument / PatentFamily / Party、Relation / Link Entity、RelevanceReview、TechnologyTaxonomy / TechnicalKnowledge","Patent/Technology知识库视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"技术主题专利调查表","技术专题调查工作底表","过程性","Generic / Context-specific、PatentDocument / PatentFamily / Party、RelevanceReview、TechnologyTaxonomy / TechnicalKnowledge","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"月度竞对跟踪表","月度新增竞对专利跟踪","数据库/流程性","Generic / Context-specific、PatentDocument / PatentFamily / Party、Product / ProductCategory、Relation / Link Entity、TechnologyTaxonomy / TechnicalKnowledge","Patent/Technology知识库视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"日常相关专利积累","日常发现的相关专利快速沉淀","过程性","Generic / Context-specific、PatentDocument / PatentFamily / Party、Product / ProductCategory、TechnologyTaxonomy / TechnicalKnowledge","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"数据库专利相关性复核表","基于数据库面向具体方案的相关性复核","过程性","ClaimAnalysis / Evidence / TechnicalFeature、Generic / Context-specific、Product / ProductCategory、RelevanceReview","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"检索结果表","检索流程的候选专利与用途标注","过程性","ClaimAnalysis / Evidence / TechnicalFeature、PatentDocument / PatentFamily / Party、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation、SearchCase / SearchStrategy / SearchRun、TechnologyTaxonomy / TechnicalKnowledge","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"检索策略记录","检索要素、检索式、运行结果与策略沉淀","过程性","SearchCase / SearchStrategy / SearchRun","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"检索沟通记录","与项目研发沟通方案与排查思路","过程性","Generic / Context-specific、Meeting / Decision / Communication、Product / ProductCategory、Project / ProjectSolutionVersion、TechnologyTaxonomy / TechnicalKnowledge","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"分析结论表","待检方案与权利要求逐条比对结论","风险","ClaimAnalysis / Evidence / TechnicalFeature、Generic / Context-specific、PatentDocument / PatentFamily / Party、Relation / Link Entity、RiskCase / RiskAssessment / Mitigation","RiskCase工作台视图","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"风险专利/前案检索特征比对表","风险专利、待检方案与前案三方特征比对","风险/过程性","ClaimAnalysis / Evidence / TechnicalFeature、PatentDocument / PatentFamily / Party、Relation / Link Entity","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
"专利性文件清单","专利性评价对比文件证据清单","布局/过程性","ClaimAnalysis / Evidence / TechnicalFeature、PatentDocument / PatentFamily / Party、ProtectionCase / FilingCase、Relation / Link Entity","领域过程实体 + SavedView；流程结束后视图可弃，数据保留","不再独立复制数据；通过关系、过滤、列投影、聚合生成"
