"归一化字段","出现次数","原始别名","出现表数","典型来源表","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","是否建议实体化","字段层级建议"
"法律状态","7","当前法律状态、法律状态","7","IP事务管控表之申请管控表、NEW项目挖掘情况、专利申请总表、品类我司专利申请类、检索结果表、特定主题专利分享-大主题、特定主题专利分享-小主题","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","是","核心实体字段"
"申请日","7","申请日","7","专利申请总表、产品品类数据总库、单一技术主题模块库、月度竞对跟踪表、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"风险专利关联","7","风险专利号、风险专利号（含同族）","7","IP事务管控表之风险管控表、产品线季度类项目风险分享、会议展示用精选管控表、平台性风险管理及跟踪总表、项目风险情况、风险专利/前案检索特征比对表、风险会风险统计表","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","是","核心实体字段"
"专利族关联","6","专利族专利号、同族专利号、同族公开号","6","产品品类数据总库、分析结论表、单一技术主题模块库、月度竞对跟踪表、检索结果表、特殊国家地区专利库","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","是","核心实体字段"
"产品名称","6","产品名称","6","IP事务管控表之风险管控表、NEW项目风险会召开情况、产品线季度类项目风险分享、品类我司专利申请类、检索沟通记录、项目进程表","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"保护点概要","6","保护主题概要、保护点概要","6","技术主题专利调查表、日常相关专利积累、月度竞对跟踪表、特定主题专利分享-大主题、特定主题专利分享-小主题、竞争对手技术路线表","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"公开日","6","公开日、首次公开日","6","专利性文件清单、产品品类数据总库、单一技术主题模块库、月度竞对跟踪表、特殊国家地区专利库、风险专利/前案检索特征比对表","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"标准申请人","6","标准申请人、申请人（标准化）","6","产品品类数据总库、单一技术主题模块库、月度竞对跟踪表、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"风险主题","6","所涉风险主题、风险主题","6","IP事务管控表之风险管控表、产品线季度类项目风险分享、会议展示用精选管控表、平台性风险管理及跟踪总表、项目风险情况、风险会风险统计表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"出货地区","5","出货地、出货地区","5","IP事务管控表之风险管控表、分析结论表、数据库专利相关性复核表、检索沟通记录、项目进程表","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","是","长尾/视图字段"
"技术效果摘要","5","一句话技术效果、技术效果","5","产品品类数据总库、单一技术主题模块库、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"技术方案摘要","5","一句话技术方案、技术手段","5","产品品类数据总库、单一技术主题模块库、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"技术问题摘要","5","AI技术问题、一句话技术问题","5","产品品类数据总库、单一技术主题模块库、特定主题专利分享-大主题、特定主题专利分享-小主题、特殊国家地区专利库","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"申请/布局国家","5","布局国家、申请国家、申请地区","5","IP事务管控表之申请管控表、NEW项目挖掘情况、专利性文件清单、专利申请总表、品类我司专利申请类","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","ISO国家/地区代码，多选用关联表","对应领域实体的结构化字段","是","核心实体字段"
"相关性","5","相关度、相关性标签","5","产品品类数据总库、单一技术主题模块库、技术主题专利调查表、数据库专利相关性复核表、特殊国家地区专利库","RelevanceReview","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","普通变更历史","低/按记录继承","AI可辅助，不得作为最终责任结论","枚举/评分：无关/低/中/高 或 0-100","对应领域实体的结构化字段","是","核心实体字段"
"专利附图","4","专利附图、对比文件专利附图、附图","3","特定主题专利分享-大主题、特定主题专利分享-小主题、风险专利/前案检索特征比对表","PatentDocument / PatentFamily / Party","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","是","核心实体字段"
"摘要翻译","4","摘要翻译","4","产品品类数据总库、单一技术主题模块库、月度竞对跟踪表、特殊国家地区专利库","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"权利要求翻译","4","权利要求翻译","4","产品品类数据总库、单一技术主题模块库、月度竞对跟踪表、特殊国家地区专利库","PatentDocument / PatentFamily / Party","业务事实/描述","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"申请号","4","挖掘申请专利号、申请专利号、申请号","4","IP事务管控表之申请管控表、NEW项目挖掘情况、专利申请总表、品类我司专利申请类","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"预计失效日","4","预计失效日","4","产品品类数据总库、单一技术主题模块库、月度竞对跟踪表、特殊国家地区专利库","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","是","核心实体字段"
"风险等级","4","关注等级、风险等级","4","IP事务管控表之风险管控表、会议展示用精选管控表、平台性风险管理及跟踪总表、风险会风险统计表","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","中","AI可辅助，不得作为最终责任结论","枚举：无/低/中/高/关键（建议可配置）","对应领域实体的结构化字段","是","核心实体字段"
"事务发起人","3","事务申请人、发起人","3","个人事务管控表、待完成的任务、月度个人事务管理","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"事务描述","3","事务描述","3","个人事务管控表、待完成的任务、月度个人事务管理","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"事务类型","3","事务类型","3","个人事务管控表、待完成的任务、月度个人事务管理","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","可配置枚举","对应领域实体的结构化字段","建议","长尾/视图字段"
"产品图示","3","产品图示","3","产品线季度类项目风险分享、检索沟通记录、项目进程表","Product / ProductCategory","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","建议","长尾/视图字段"
"保护主题","3","挖掘主题、申请保护主题","3","IP事务管控表之申请管控表、NEW项目挖掘情况、品类我司专利申请类","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"关联项目","3","哪些项目相关、所涉项目、相关项目","3","平台性风险管理及跟踪总表、项目风险情况、风险会风险统计表","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","建议","关系/事件字段"
"历史分析报告","3","历史分析报告号/链接","3","产品品类数据总库、单一技术主题模块库、特殊国家地区专利库","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","建议","长尾/视图字段"
"历史分析结论","3","历史分析结论","3","产品品类数据总库、单一技术主题模块库、特殊国家地区专利库","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","建议","长尾/视图字段"
"发现原因","3","发现原因","3","平台性风险管理及跟踪总表、项目风险情况、风险会风险统计表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"处理方式","3","处理方式","3","产品线季度类项目风险分享、平台性风险管理及跟踪总表、风险会风险统计表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"实施例总结","3","实施例总结","3","特定主题专利分享-大主题、特定主题专利分享-小主题、竞争对手技术路线表","TechnologyTaxonomy / TechnicalKnowledge","专业判断/分析结论","AI初加工 + 人工复核","按业务事件更新","普通变更历史","低/按记录继承","适合AI生成，必须保留模型/提示词/输入哈希/人工确认","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"待检方案特征","3","与该专利相关的待检方案、本次待检方案特征","3","分析结论表、数据库专利相关性复核表、检索结果表","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"部门","3","所涉部门、部门","3","个人事务管控表、待完成的任务、月度个人事务管理","Department","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"项目负责人","3","项目负责人","3","IP事务管控表之风险管控表、检索沟通记录、项目进程表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"项目阶段","3","项目当前阶段","3","IP事务管控表之风险管控表、检索沟通记录、项目进程表","Project / ProjectSolutionVersion","当前状态快照（应有事件历史）","项目/研发/产品团队反馈","高变化/事件驱动","普通变更历史","中","可选AI辅助","项目阶段状态机","当前快照字段 + 状态事件表（双层）","建议","关系/事件字段"
"风险结论","3","风险结论、风险结论详情","3","IP事务管控表之风险管控表、会议展示用精选管控表、分析结论表","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"IPC","2","IPC分类号","2","特定主题专利分享-大主题、特定主题专利分享-小主题","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"专利号（同族靠近分组呈现）","2","专利号（同族靠近分组呈现）","2","特定主题专利分享-大主题、特定主题专利分享-小主题","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","建议","长尾/视图字段"
"专利标题","2","专利名称、专利标题","2","IP事务管控表之申请管控表、专利申请总表","PatentDocument / PatentFamily / Party","业务事实/描述","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"专利跟踪负责人","2","专利跟踪负责人","2","平台性风险管理及跟踪总表、风险会风险统计表","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","建议","长尾/视图字段"
"产品经理","2","产品经理","2","IP事务管控表之风险管控表、项目进程表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"原始申请人","2","申请人（原始）","2","特定主题专利分享-大主题、特定主题专利分享-小主题","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"及时与否","2","及时与否","2","待完成的任务、月度个人事务管理","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"发明人","2","发明人","2","特定主题专利分享-大主题、特定主题专利分享-小主题","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"同族信息","2","同族信息","2","特定主题专利分享-大主题、特定主题专利分享-小主题","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"对比文件专利关联","2","对比文件专利号","2","专利性文件清单、风险专利/前案检索特征比对表","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","建议","关系/事件字段"
"应对措施","2","应对措施","2","IP事务管控表之风险管控表、会议展示用精选管控表","RiskCase / RiskAssessment / Mitigation","业务事实/描述","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"是否冲突","2","是否冲突","2","IP事务管控表之风险管控表、会议展示用精选管控表","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","AI可辅助，不得作为最终责任结论","三值：是/否/待定","对应领域实体的结构化字段","建议","长尾/视图字段"
"研发专业/项目等级","2","结构电子项目等級类型、结构电子项目类型","2","IP事务管控表之风险管控表、项目进程表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"继承产品型号","2","继承产品型号、继承历史产品型号","2","IP事务管控表之风险管控表、项目进程表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"跟踪状态","2","跟踪状态","2","平台性风险管理及跟踪总表、风险会风险统计表","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","状态机","当前快照字段 + 状态事件表（双层）","建议","关系/事件字段"
"采用状态","2","采用状态","2","IP事务管控表之风险管控表、会议展示用精选管控表","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","枚举：未采用/拟采用/已采用/已规避/已取消","当前快照字段 + 状态事件表（双层）","建议","关系/事件字段"
"项目管理","2","项目管理","2","IP事务管控表之风险管控表、项目进程表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","建议","长尾/视图字段"
"风险分析报告","2","分析报告","2","平台性风险管理及跟踪总表、风险会风险统计表","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","建议","长尾/视图字段"
"风险国家","2","风险国家","2","产品线季度类项目风险分享、平台性风险管理及跟踪总表","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","建议","长尾/视图字段"
"专利之星表格","1","专利之星表格","1","专利申请总表","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","否","长尾/视图字段"
"专利卷号","1","专利卷号","1","专利申请总表","ProtectionCase / FilingCase","标识/主数据","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"专利号（同族选代表）","1","专利号（同族选代表）","1","竞争对手技术路线表","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","否","长尾/视图字段"
"专利类型","1","专利类型","1","专利申请总表","PatentDocument / PatentFamily / Party","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"事务起始时间","1","事务起始时间","1","个人事务管控表","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"产品定义背景","1","产品定义背景","1","IP事务管控表之风险管控表","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"从属权利要求","1","从属权利要求内容","1","分析结论表","ClaimAnalysis / Evidence / TechnicalFeature","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"代理机构","1","代理机构名称","1","专利申请总表","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"优先权号","1","优先权号","1","专利申请总表","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","否","长尾/视图字段"
"会议/排查结论","1","风险评估会排查结果","1","NEW项目风险会召开情况","Meeting / Decision / Communication","正式决策事实","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","不可变Decision事件/版本记录","否","长尾/视图字段"
