"大类","来源表","序号","原始字段","归一化字段","建议归属实体","数据属性","主要生产方式","时间变化性","审计要求","敏感级","AI适用性","数据校验","建议存储方式","使用层级","用途体系"
"整体管控类","项目进程表","7","产品经理","产品经理","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","8","出货地区","出货地区","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","流程性"
"整体管控类","项目进程表","9","结构电子项目等級类型","研发专业/项目等级","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","10","继承产品型号","继承产品型号","Project / ProjectSolutionVersion","业务事实/描述","项目/研发/产品团队反馈","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","项目进程表","11","项目当前阶段","项目阶段","Project / ProjectSolutionVersion","当前状态快照（应有事件历史）","项目/研发/产品团队反馈","高变化/事件驱动","普通变更历史","中","可选AI辅助","项目阶段状态机","当前快照字段 + 状态事件表（双层）","部门","流程性"
"整体管控类","项目进程表","12","产品图示","产品图示","Product / ProductCategory","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","流程性"
"整体管控类","项目进程表","13","预计出货时间","预计出货时间","Project / ProjectSolutionVersion","外部/业务事实","项目/研发/产品团队反馈","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","流程性"
"整体管控类","风险会风险统计表","1","风险专利号（含同族）","风险专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","风险"
"整体管控类","风险会风险统计表","2","风险专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","3","风险主题","风险主题","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","4","风险等级","风险等级","RiskCase / RiskAssessment / Mitigation","专业判断/分析结论","专业人员人工判断（AI仅辅助）","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","中","AI可辅助，不得作为最终责任结论","枚举：无/低/中/高/关键（建议可配置）","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","5","发现原因","发现原因","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","6","处理方式","处理方式","RiskCase / RiskAssessment / Mitigation","业务事实/描述","专业人员人工判断（AI仅辅助）","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","AI可辅助，不得作为最终责任结论","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","7","会议结论","会议决策结论","Meeting / Decision / Communication","正式决策事实","会议/领导正式确认","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","不可变Decision事件/版本记录","部门","风险"
"整体管控类","风险会风险统计表","8","会议时间","会议时间","Meeting / Decision / Communication","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","9","会议决策人","会议决策人","Meeting / Decision / Communication","业务事实/描述","会议/领导正式确认","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","10","专利跟踪负责人","专利跟踪负责人","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","风险"
"整体管控类","风险会风险统计表","11","分析报告","风险分析报告","Artifact / Attachment / Report","引用/附件","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","Attachment/Artifact实体 + 关联表","部门","风险"
"整体管控类","风险会风险统计表","12","跟踪状态","跟踪状态","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","状态机","当前快照字段 + 状态事件表（双层）","部门","风险"
"整体管控类","风险会风险统计表","13","哪些项目相关","关联项目","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","风险"
"整体管控类","风险会风险统计表","14","规避状态","规避状态","RiskCase / RiskAssessment / Mitigation","当前状态快照（应有事件历史）","人工维护/系统派生","高变化/事件驱动","普通变更历史","低/按记录继承","可选AI辅助","状态机","当前快照字段 + 状态事件表（双层）","部门","风险"
"整体管控类","风险会风险统计表","15","样机证据事宜","样机证据事宜","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"整体管控类","风险会风险统计表","16","处置受阻原因","处置受阻原因","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险"
"月度例会数据统计类","项目风险情况","1","风险主题","风险主题","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/分享阐释"
"月度例会数据统计类","项目风险情况","2","所涉项目","关联项目","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","风险/分享阐释"
"月度例会数据统计类","项目风险情况","3","风险专利号","风险专利关联","Relation / Link Entity","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","关系表（多对多/带属性），禁止逗号拼接","部门","风险/分享阐释"
"月度例会数据统计类","项目风险情况","4","风险专利权人","专利权人","PatentDocument / PatentFamily / Party","业务事实/描述","外部数据库自动采集 + 人工校验","低频变化/版本化","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/分享阐释"
"月度例会数据统计类","项目风险情况","5","发现原因","发现原因","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/分享阐释"
"月度例会数据统计类","项目风险情况","6","发现时间","发现时间","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/分享阐释"
"月度例会数据统计类","项目风险情况","7","风险处置情况","风险处置情况","RiskCase / RiskAssessment / Mitigation","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/分享阐释"
"月度例会数据统计类","NEW项目风险会召开情况","1","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/流程性"
"月度例会数据统计类","NEW项目风险会召开情况","2","产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/流程性"
"月度例会数据统计类","NEW项目风险会召开情况","3","产品名称","产品名称","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","风险/流程性"
"月度例会数据统计类","NEW项目风险会召开情况","4","是否召开过风险评估会","是否召开过风险评估会","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","风险/流程性"
"月度例会数据统计类","NEW项目风险会召开情况","5","风险评估会排查结果","会议/排查结论","Meeting / Decision / Communication","正式决策事实","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","不可变Decision事件/版本记录","部门","风险/流程性"
"月度例会数据统计类","NEW项目挖掘情况","1","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"月度例会数据统计类","NEW项目挖掘情况","2","产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"月度例会数据统计类","NEW项目挖掘情况","3","挖掘主题","保护主题","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"月度例会数据统计类","NEW项目挖掘情况","4","挖掘申请专利号","申请号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"月度例会数据统计类","NEW项目挖掘情况","5","布局国家","申请/布局国家","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","ISO国家/地区代码，多选用关联表","对应领域实体的结构化字段","部门","布局"
"月度例会数据统计类","NEW项目挖掘情况","6","当前法律状态","法律状态","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","部门","布局"
"月度例会数据统计类","月度个人事务管理","1","事务描述","事务描述","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","流程性"
"月度例会数据统计类","月度个人事务管理","2","事务类型","事务类型","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","可配置枚举","对应领域实体的结构化字段","小组","流程性"
"月度例会数据统计类","月度个人事务管理","3","所涉部门","部门","Department","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","流程性"
"月度例会数据统计类","月度个人事务管理","4","及时与否","及时与否","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","流程性"
"月度例会数据统计类","月度个人事务管理","5","事务申请人","事务发起人","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","流程性"
"月度例会数据统计类","月度个人事务管理","6","接收时间","接收时间","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","流程性"
"月度例会数据统计类","月度个人事务管理","7","完成时间","完成时间","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","小组","流程性"
"月度例会数据统计类","待完成的任务","1","事务描述","事务描述","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","流程性"
"月度例会数据统计类","待完成的任务","2","事务类型","事务类型","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","可配置枚举","对应领域实体的结构化字段","个人/小组","流程性"
"月度例会数据统计类","待完成的任务","3","所涉部门","部门","Department","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","流程性"
"月度例会数据统计类","待完成的任务","4","及时与否","及时与否","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","流程性"
"月度例会数据统计类","待完成的任务","5","事务申请人","事务发起人","WorkItem / Worklog","业务事实/描述","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","流程性"
"月度例会数据统计类","待完成的任务","6","预计完成耗时","预计耗时","WorkItem / Worklog","度量","个人录入 + 系统时间戳","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","个人/小组","流程性"
"年度半年度数据统计类","品类我司专利申请类","1","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","2","产品号","产品编号","Product / ProductCategory","标识/主数据","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","3","产品名称","产品名称","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","4","申请保护主题","保护主题","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","5","申请专利号","申请号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","6","布局国家","申请/布局国家","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","ISO国家/地区代码，多选用关联表","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","7","当前法律状态","法律状态","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","8","产品品类","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","品类我司专利申请类","9","技术模块分类","技术模块","TechnologyTaxonomy / TechnicalKnowledge","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","技术分类树引用，可多选","对应领域实体的结构化字段","部门","布局"
"年度半年度数据统计类","专利申请总表","1","专利之星表格","专利之星表格","Generic / Context-specific","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","视图本地字段或CustomField；达到高频阈值后实体化","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","2","专利卷号","专利卷号","ProtectionCase / FilingCase","标识/主数据","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","3","申请号","申请号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","4","公开号","公开号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","5","申请日","申请日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","6","优先权日","优先权日","PatentDocument / PatentFamily / Party","外部/业务事实","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","来源审计：数据源/抓取时间/原文证据","低/按记录继承","不宜AI生成；应结构化采集/规则计算","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","7","优先权号","优先权号","PatentDocument / PatentFamily / Party","标识/主数据","外部数据库自动采集 + 人工校验","基本稳定/确认后近似不可变","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","8","内部名称","内部名称","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","9","专利标题","专利标题","PatentDocument / PatentFamily / Party","业务事实/描述","人工维护/系统派生","基本稳定/确认后近似不可变","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","10","专利类型","专利类型","PatentDocument / PatentFamily / Party","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","11","申请国家","申请/布局国家","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","可选AI辅助","ISO国家/地区代码，多选用关联表","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","12","申请策略","申请策略","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","强审计：旧值/新值/人/时间/原因/审批","高","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","13","法律状态","法律状态","PatentDocument / PatentFamily / Party","当前状态快照（应有事件历史）","外部数据库自动采集 + 人工校验","高变化/事件驱动","强审计：旧值/新值/人/时间/原因/审批","低/按记录继承","不宜AI生成；应结构化采集/规则计算","法域标准化状态映射 + 原始状态并存","当前快照字段 + 状态事件表（双层）","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","14","内部承办人","内部承办人","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","15","代理机构名称","代理机构","ProtectionCase / FilingCase","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","16","产品类型","产品品类","Product / ProductCategory","业务事实/描述","人工维护/系统派生","按业务事件更新","普通变更历史","低/按记录继承","可选AI辅助","产品分类树引用","对应领域实体的结构化字段","部门","布局/流程性"
"年度半年度数据统计类","专利申请总表","17","项目号","项目编号","Project / ProjectSolutionVersion","标识/主数据","项目/研发/产品团队反馈","基本稳定/确认后近似不可变","普通变更历史","中","可选AI辅助","类型校验 + 必填/唯一性按业务配置","对应领域实体的结构化字段","部门","布局/流程性"
